GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
outbox-demo,com.demo.outbox.pipeline,PipelineRegistry,0,92,0,2,0,23,0,9,0,8
outbox-demo,com.demo.outbox.service,OutboxService,0,72,0,2,0,18,0,3,0,2
outbox-demo,com.demo.outbox.service,CardApplicationService,0,65,0,0,0,20,0,4,0,4
outbox-demo,com.demo.outbox.util,MdcContext,0,131,0,28,0,32,0,23,0,9
outbox-demo,com.demo.outbox.pipeline.step,CreditBureauCheckStep,0,64,0,0,0,15,0,6,0,6
outbox-demo,com.demo.outbox.pipeline.step,NotificationStep,0,63,0,0,0,18,0,6,0,6
outbox-demo,com.demo.outbox.pipeline.step,FinalDbUpdateStep,0,48,0,0,0,12,0,6,0,6
outbox-demo,com.demo.outbox.pipeline.step,CardProviderRegisterStep,0,64,0,0,0,18,0,6,0,6
outbox-demo,com.demo.outbox.scheduler,OutboxStepExecutor,7,237,1,19,0,46,2,14,1,5
outbox-demo,com.demo.outbox.scheduler,OutboxEventProcessor,0,127,0,8,0,26,0,6,0,2
outbox-demo,com.demo.outbox.scheduler,PipelineOutboxPoller,0,54,0,4,0,14,0,4,0,2
outbox-demo,com.demo.outbox.config,AsyncConfig,0,42,0,2,0,15,0,5,0,4
outbox-demo,com.demo.outbox.config,AppConfig,0,7,0,0,0,2,0,2,0,2
outbox-demo,com.demo.outbox.entity,CardApplication.Status,0,39,0,0,0,7,0,1,0,1
outbox-demo,com.demo.outbox.entity,OutboxEvent.Status,0,21,0,0,0,1,0,1,0,1
outbox-demo,com.demo.outbox.api,CreditBureauClient,0,55,0,4,0,10,0,4,0,2
outbox-demo,com.demo.outbox.api,CardApplicationController,0,49,0,0,0,12,0,3,0,3
outbox-demo,com.demo.outbox.api,CardProviderClient,0,56,0,4,0,12,0,4,0,2
outbox-demo,com.demo.outbox.api,NotificationClient,0,56,0,4,0,10,0,4,0,2
